frame_id,frame_name,delta_area_nm2_per_frame
163,11dd74426e8374ac110c4036c77c09ab_000000000169,397.756061
164,11dd74426e8374ac110c4036c77c09ab_000000000170,-495.733932
165,11dd74426e8374ac110c4036c77c09ab_000000000171,19.839756
166,11dd74426e8374ac110c4036c77c09ab_000000000172,9.767264
167,11dd74426e8374ac110c4036c77c09ab_000000000173,-16.787486
168,11dd74426e8374ac110c4036c77c09ab_000000000174,-1.526135
169,11dd74426e8374ac110c4036c77c09ab_000000000175,-628.615032
170,11dd74426e8374ac110c4036c77c09ab_000000000176,-113.086608
171,11dd74426e8374ac110c4036c77c09ab_000000000177,6.409767
172,11dd74426e8374ac110c4036c77c09ab_000000000178,-12.209081
173,11dd74426e8374ac110c4036c77c09ab_000000000179,91.262877
174,11dd74426e8374ac110c4036c77c09ab_000000000180,-324.573942
175,11dd74426e8374ac110c4036c77c09ab_000000000181,11.462160
176,11dd74426e8374ac110c4036c77c09ab_000000000182,-86.205766
177,11dd74426e8374ac110c4036c77c09ab_000000000183,-6.994536
178,11dd74426e8374ac110c4036c77c09ab_000000000184,-188.123088
179,11dd74426e8374ac110c4036c77c09ab_000000000185,11.327434
180,11dd74426e8374ac110c4036c77c09ab_000000000186,-35.115044
181,11dd74426e8374ac110c4036c77c09ab_000000000187,275.426944
182,11dd74426e8374ac110c4036c77c09ab_000000000188,0.881705
183,11dd74426e8374ac110c4036c77c09ab_000000000189,69.654666
184,11dd74426e8374ac110c4036c77c09ab_000000000190,7.935342
185,11dd74426e8374ac110c4036c77c09ab_000000000191,326.895664
186,11dd74426e8374ac110c4036c77c09ab_000000000192,-3.662724
187,11dd74426e8374ac110c4036c77c09ab_000000000193,-627.007702
188,11dd74426e8374ac110c4036c77c09ab_000000000194,334.340523
189,11dd74426e8374ac110c4036c77c09ab_000000000195,4.702425
190,11dd74426e8374ac110c4036c77c09ab_000000000196,-104.628949
191,11dd74426e8374ac110c4036c77c09ab_000000000197,9.386481
192,11dd74426e8374ac110c4036c77c09ab_000000000198,76.340926
193,11dd74426e8374ac110c4036c77c09ab_000000000199,-1.671565
194,11dd74426e8374ac110c4036c77c09ab_000000000200,-19.103600
195,11dd74426e8374ac110c4036c77c09ab_000000000201,-25.275533
196,11dd74426e8374ac110c4036c77c09ab_000000000202,12.637766
197,11dd74426e8374ac110c4036c77c09ab_000000000203,-22.336517
198,11dd74426e8374ac110c4036c77c09ab_000000000204,-12.343865
