frame,cx,cy
645,940.14,513.07
646,927.02,499.09
647,941.73,495.43
648,952.11,498.24
649,958.74,500.80
650,959.15,492.79
651,965.05,506.55
652,946.43,495.63
653,956.78,500.72
654,951.35,503.13
655,944.84,505.15
656,944.33,499.76
657,947.93,495.86
658,935.65,494.13
659,937.72,492.01
660,937.96,490.11
661,930.41,489.34
662,935.62,497.78
663,931.59,490.32
664,931.06,493.55
665,923.50,491.05
666,941.07,496.90
667,933.02,481.22
668,958.17,496.38
669,933.63,489.06
670,922.21,493.22
671,936.52,500.46
672,951.44,494.50
673,942.97,494.60
674,940.22,501.58
675,957.72,505.15
676,947.90,501.58
677,971.11,508.34
678,960.07,497.92
679,933.93,495.33
680,943.22,503.34
681,929.55,492.57
682,934.62,502.96
683,946.78,504.64
684,942.37,512.29
685,951.43,507.93
686,953.44,503.73
687,942.97,498.25
688,903.23,612.00
688,940.74,503.36
689,944.65,503.33
690,956.21,499.97
691,939.12,495.17
692,903.05,612.26
692,934.14,504.69
693,953.82,505.94
694,946.36,507.43
695,969.56,535.36
696,948.17,517.45
697,951.39,507.76
698,929.78,520.86
699,937.03,511.28
700,938.46,513.75
701,942.60,516.59
702,950.05,522.90
703,936.13,515.36
704,946.99,515.02
705,967.33,532.41
706,913.33,612.37
706,938.25,526.07
707,737.13,529.28
707,728.80,512.45
707,686.80,511.95
707,926.92,532.13
708,886.61,468.24
709,923.33,508.06
710,916.04,506.88
711,931.72,514.85
712,928.49,498.38
713,924.66,506.02
714,935.08,501.99
715,941.41,497.76
716,917.49,495.94
717,899.13,488.60
718,864.76,500.60
719,864.82,517.71
720,899.01,512.39
721,903.18,509.47
722,895.61,500.48
723,893.32,498.66
724,907.80,502.11
725,914.54,486.74
726,938.40,499.06
727,938.22,504.10
728,941.58,496.63
729,933.32,510.75
730,933.74,510.74
731,953.01,508.13
732,934.45,500.66
733,952.63,511.69
734,973.72,505.14
735,962.13,491.79
736,958.97,493.57
737,944.54,490.80
738,1178.20,598.25
738,922.42,493.56
739,912.61,495.46
740,924.26,495.98
741,919.27,499.34
742,902.14,499.41
743,908.54,493.42
744,893.78,472.80
745,876.94,473.07
746,885.66,480.08
747,871.84,472.95
748,895.49,482.95
749,889.83,489.20
750,880.12,477.44
751,870.85,467.96
752,877.49,485.20
753,857.49,468.20
754,864.62,468.89
755,866.72,475.69
756,882.81,483.61
757,884.24,482.85
758,868.30,484.80
759,864.62,476.11
760,846.60,467.00
761,833.59,473.68
762,859.26,477.54
763,850.81,476.60
764,856.11,469.76
765,609.68,410.68
765,835.42,479.75
766,860.51,474.39
767,870.95,488.64
768,831.13,473.08
769,893.66,479.70
770,890.85,476.09
771,918.48,476.01
772,860.42,461.93
773,909.05,477.68
774,891.60,471.83
775,903.89,477.60
776,875.04,469.97
777,638.39,411.68
777,862.57,460.20
778,866.86,455.89
779,869.05,472.89
780,854.57,460.33
781,862.24,468.59
782,891.18,474.80
783,865.12,477.79
784,860.95,476.82
785,848.44,466.74
786,862.71,476.59
787,874.02,470.12
788,862.48,457.02
789,861.99,466.33
790,878.02,472.84
791,885.86,466.72
792,891.88,475.57
793,879.21,473.99
794,880.65,480.24
795,889.42,485.59
796,884.76,484.43
797,882.34,485.25
798,893.22,486.20
799,893.07,485.53
800,881.79,480.63
801,880.46,482.82
802,877.27,476.61
803,895.56,493.21
804,895.85,501.39
805,903.34,515.29
806,906.47,507.62
807,900.68,510.86
808,928.06,515.55
809,920.78,518.16
810,787.18,554.21
810,920.11,526.51
811,919.88,531.10
812,786.67,554.36
812,891.33,523.33
813,889.57,518.08
814,891.30,506.32
815,772.61,552.63
815,878.11,495.71
816,772.72,552.84
816,888.94,517.79
817,867.14,500.58
818,902.29,507.58
819,910.74,520.67
820,919.37,510.84
821,924.73,513.58
822,906.74,501.15
823,922.62,508.64
824,905.36,496.96
825,919.10,506.45
826,910.71,508.08
827,927.37,515.37
828,902.19,513.06
829,926.36,514.00
830,1020.97,603.98
830,872.46,493.34
831,875.55,492.18
832,807.74,428.30
833,873.90,482.45
