frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm
978,11dd74426e8374ac110c4036c77c09ab_000000001039,0.339814,227.655108,169.539290
978,11dd74426e8374ac110c4036c77c09ab_000000001039,0.339814,208.722703,94.162270
979,11dd74426e8374ac110c4036c77c09ab_000000001040,0.339814,293.065704,118.373280
979,11dd74426e8374ac110c4036c77c09ab_000000001040,0.339814,226.384457,169.067711
979,11dd74426e8374ac110c4036c77c09ab_000000001040,0.339814,207.952315,93.626841
980,11dd74426e8374ac110c4036c77c09ab_000000001041,0.339814,294.620398,120.189595
980,11dd74426e8374ac110c4036c77c09ab_000000001041,0.339814,227.904535,169.687170
980,11dd74426e8374ac110c4036c77c09ab_000000001041,0.339814,210.232722,93.259546
981,11dd74426e8374ac110c4036c77c09ab_000000001042,0.339814,293.677738,119.118966
981,11dd74426e8374ac110c4036c77c09ab_000000001042,0.339814,227.216009,170.001006
981,11dd74426e8374ac110c4036c77c09ab_000000001042,0.339814,209.041922,94.354328
982,11dd74426e8374ac110c4036c77c09ab_000000001043,0.334216,290.377946,116.764928
982,11dd74426e8374ac110c4036c77c09ab_000000001043,0.334216,226.546233,165.576646
982,11dd74426e8374ac110c4036c77c09ab_000000001043,0.334216,207.309713,90.165181
983,11dd74426e8374ac110c4036c77c09ab_000000001044,0.334216,287.403472,115.798384
983,11dd74426e8374ac110c4036c77c09ab_000000001044,0.334216,224.159208,166.554684
983,11dd74426e8374ac110c4036c77c09ab_000000001044,0.334216,204.862879,89.563065
984,11dd74426e8374ac110c4036c77c09ab_000000001045,0.322665,278.422285,114.843171
984,11dd74426e8374ac110c4036c77c09ab_000000001045,0.322665,218.286873,162.589880
984,11dd74426e8374ac110c4036c77c09ab_000000001045,0.322665,199.918072,89.572422
985,11dd74426e8374ac110c4036c77c09ab_000000001050,0.344520,296.085242,118.167865
985,11dd74426e8374ac110c4036c77c09ab_000000001050,0.344520,227.919770,169.144690
985,11dd74426e8374ac110c4036c77c09ab_000000001050,0.344520,211.236412,94.923520
986,11dd74426e8374ac110c4036c77c09ab_000000001051,0.344520,298.026954,118.131024
986,11dd74426e8374ac110c4036c77c09ab_000000001051,0.344520,229.362092,169.033946
986,11dd74426e8374ac110c4036c77c09ab_000000001051,0.344520,213.579715,94.840292
987,11dd74426e8374ac110c4036c77c09ab_000000001052,0.344520,292.359315,115.612454
987,11dd74426e8374ac110c4036c77c09ab_000000001052,0.344520,210.817958,90.516679
987,11dd74426e8374ac110c4036c77c09ab_000000001052,0.344520,222.758566,165.890922
988,11dd74426e8374ac110c4036c77c09ab_000000001053,0.344520,289.951352,116.686673
988,11dd74426e8374ac110c4036c77c09ab_000000001053,0.344520,210.982816,90.203322
988,11dd74426e8374ac110c4036c77c09ab_000000001053,0.344520,222.333992,164.966464
989,11dd74426e8374ac110c4036c77c09ab_000000001054,0.344520,291.955349,116.198290
989,11dd74426e8374ac110c4036c77c09ab_000000001054,0.344520,211.285743,90.247723
989,11dd74426e8374ac110c4036c77c09ab_000000001054,0.344520,222.876637,164.736409
