frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm
33,11dd74426e8374ac110c4036c77c09ab_000000000033,0.390658,284.590764,212.456891
33,11dd74426e8374ac110c4036c77c09ab_000000000033,0.390658,336.053394,229.440848
33,11dd74426e8374ac110c4036c77c09ab_000000000033,0.390658,291.080252,157.299166
33,11dd74426e8374ac110c4036c77c09ab_000000000033,0.390658,356.413141,173.423600
34,11dd74426e8374ac110c4036c77c09ab_000000000034,0.383342,281.260066,208.749405
34,11dd74426e8374ac110c4036c77c09ab_000000000034,0.383342,333.007577,227.135950
34,11dd74426e8374ac110c4036c77c09ab_000000000034,0.383342,285.980287,154.143105
34,11dd74426e8374ac110c4036c77c09ab_000000000034,0.383342,347.465549,168.825551
35,11dd74426e8374ac110c4036c77c09ab_000000000035,0.383342,280.205455,208.573340
35,11dd74426e8374ac110c4036c77c09ab_000000000035,0.383342,329.707760,226.766787
35,11dd74426e8374ac110c4036c77c09ab_000000000035,0.383342,287.336255,152.029415
35,11dd74426e8374ac110c4036c77c09ab_000000000035,0.383342,344.946337,167.365769
36,11dd74426e8374ac110c4036c77c09ab_000000000036,0.383342,279.613457,207.183914
36,11dd74426e8374ac110c4036c77c09ab_000000000036,0.383342,331.247561,225.829233
36,11dd74426e8374ac110c4036c77c09ab_000000000036,0.383342,287.143063,151.960358
36,11dd74426e8374ac110c4036c77c09ab_000000000036,0.383342,347.145614,166.963604
37,11dd74426e8374ac110c4036c77c09ab_000000000037,0.383342,279.736854,208.865432
37,11dd74426e8374ac110c4036c77c09ab_000000000037,0.383342,328.622920,226.398911
37,11dd74426e8374ac110c4036c77c09ab_000000000037,0.383342,284.902607,152.316079
37,11dd74426e8374ac110c4036c77c09ab_000000000037,0.383342,343.666714,169.778313
38,11dd74426e8374ac110c4036c77c09ab_000000000038,0.383342,280.188843,209.250341
38,11dd74426e8374ac110c4036c77c09ab_000000000038,0.383342,330.736540,226.042850
38,11dd74426e8374ac110c4036c77c09ab_000000000038,0.383342,286.877340,152.381076
38,11dd74426e8374ac110c4036c77c09ab_000000000038,0.383342,345.304526,168.010505
39,11dd74426e8374ac110c4036c77c09ab_000000000039,0.383342,280.865868,209.118427
39,11dd74426e8374ac110c4036c77c09ab_000000000039,0.383342,330.384832,225.798115
39,11dd74426e8374ac110c4036c77c09ab_000000000039,0.383342,286.693554,153.001491
39,11dd74426e8374ac110c4036c77c09ab_000000000039,0.383342,345.139037,167.173689
40,11dd74426e8374ac110c4036c77c09ab_000000000040,0.383342,280.190224,209.022358
40,11dd74426e8374ac110c4036c77c09ab_000000000040,0.383342,330.337242,226.095120
