instance_id,frame_id,frame_name,nm_per_pixel,area_nm2,cx_nm,cy_nm
131,584,11dd74426e8374ac110c4036c77c09ab_000000000639,0.338788,776.126255,355.302781,220.651677
131,585,11dd74426e8374ac110c4036c77c09ab_000000000640,0.338788,782.553802,352.951940,220.078152
131,586,11dd74426e8374ac110c4036c77c09ab_000000000641,0.344520,842.492582,362.459224,223.934086
131,587,11dd74426e8374ac110c4036c77c09ab_000000000642,0.344520,850.089021,364.063523,225.054156
131,588,11dd74426e8374ac110c4036c77c09ab_000000000643,0.344520,852.225519,364.217405,225.491809
131,589,11dd74426e8374ac110c4036c77c09ab_000000000644,0.344520,877.151335,361.422718,225.083448
131,590,11dd74426e8374ac110c4036c77c09ab_000000000645,0.338788,861.061693,356.646851,222.144319
131,591,11dd74426e8374ac110c4036c77c09ab_000000000646,0.344520,895.192878,362.813249,224.926854
131,592,11dd74426e8374ac110c4036c77c09ab_000000000647,0.338788,492.395983,370.659716,227.837181
131,593,11dd74426e8374ac110c4036c77c09ab_000000000648,0.344520,498.991098,371.287982,230.833979
131,594,11dd74426e8374ac110c4036c77c09ab_000000000649,0.344520,505.400593,371.336556,229.930454
131,595,11dd74426e8374ac110c4036c77c09ab_000000000650,0.350446,530.303961,377.317157,233.594552
131,596,11dd74426e8374ac110c4036c77c09ab_000000000651,0.345599,496.148104,372.216151,230.870903
131,597,11dd74426e8374ac110c4036c77c09ab_000000000652,0.345599,494.475963,371.519300,232.010869
132,576,11dd74426e8374ac110c4036c77c09ab_000000000631,0.344520,329.851632,319.414098,204.208964
132,577,11dd74426e8374ac110c4036c77c09ab_000000000632,0.344520,366.409496,321.170765,202.185474
132,578,11dd74426e8374ac110c4036c77c09ab_000000000633,0.344520,366.884273,319.952516,202.311115
132,579,11dd74426e8374ac110c4036c77c09ab_000000000634,0.344520,364.391691,303.416900,203.209993
132,580,11dd74426e8374ac110c4036c77c09ab_000000000635,0.344520,345.163205,300.145217,202.456796
132,581,11dd74426e8374ac110c4036c77c09ab_000000000636,0.344520,335.905045,299.623369,202.189848
132,582,11dd74426e8374ac110c4036c77c09ab_000000000637,0.344520,347.537092,296.813289,201.961401
132,583,11dd74426e8374ac110c4036c77c09ab_000000000638,0.344520,343.501484,298.233490,202.485037
132,584,11dd74426e8374ac110c4036c77c09ab_000000000639,0.338788,323.213773,294.917874,200.107023
132,585,11dd74426e8374ac110c4036c77c09ab_000000000640,0.338788,313.572453,296.861814,200.731271
132,586,11dd74426e8374ac110c4036c77c09ab_000000000641,0.344520,333.412463,299.407202,203.139928
132,587,11dd74426e8374ac110c4036c77c09ab_000000000642,0.344520,303.501484,301.065207,203.538491
132,588,11dd74426e8374ac110c4036c77c09ab_000000000643,0.344520,296.142433,301.769010,205.097370
132,589,11dd74426e8374ac110c4036c77c09ab_000000000644,0.344520,292.581602,301.714842,204.613225
132,590,11dd74426e8374ac110c4036c77c09ab_000000000645,0.338788,282.008608,298.994936,202.073915
132,591,11dd74426e8374ac110c4036c77c09ab_000000000646,0.344520,260.415430,302.167782,204.668360
132,592,11dd74426e8374ac110c4036c77c09ab_000000000647,0.338788,310.329986,304.614432,205.323526
132,593,11dd74426e8374ac110c4036c77c09ab_000000000648,0.344520,276.439169,303.894695,208.370798
132,594,11dd74426e8374ac110c4036c77c09ab_000000000649,0.344520,289.020772,303.636641,207.057713
132,595,11dd74426e8374ac110c4036c77c09ab_000000000650,0.350446,295.732269,310.623992,210.832716
132,596,11dd74426e8374ac110c4036c77c09ab_000000000651,0.345599,353.538370,307.324694,208.758476
132,597,11dd74426e8374ac110c4036c77c09ab_000000000652,0.345599,356.524336,307.933226,210.684118
133,576,11dd74426e8374ac110c4036c77c09ab_000000000631,0.344520,170.089021,250.247721,188.446921
133,577,11dd74426e8374ac110c4036c77c09ab_000000000632,0.344520,171.750742,251.006974,188.912604
133,578,11dd74426e8374ac110c4036c77c09ab_000000000633,0.344520,171.988131,250.898996,189.096871
133,579,11dd74426e8374ac110c4036c77c09ab_000000000634,0.344520,176.083086,250.905304,187.878895
133,580,11dd74426e8374ac110c4036c77c09ab_000000000635,0.344520,176.379822,250.543247,187.127506
133,581,11dd74426e8374ac110c4036c77c09ab_000000000636,0.344520,178.397626,248.287630,185.795581
133,582,11dd74426e8374ac110c4036c77c09ab_000000000637,0.344520,176.023739,248.218911,186.437288
133,583,11dd74426e8374ac110c4036c77c09ab_000000000638,0.344520,177.448071,248.356770,186.302583
133,584,11dd74426e8374ac110c4036c77c09ab_000000000639,0.338788,170.616930,246.397242,185.203970
133,585,11dd74426e8374ac110c4036c77c09ab_000000000640,0.338788,172.797704,245.530255,184.448768
